date_utc,symbole,direction,score,confluence,risque_usd_1R,r_realise,pnl_usd,volume_lots,type_sortie,mfe_r,mae_r
2026-09-01 17:07:25,SP500,SHORT,9.1,6,211.38,1.4268,301.60,26.00,tp,1.3087,-0.3665
2026-09-01 20:30:33,NAS100,SHORT,9.1,5,242.35,-0.1534,-37.17,1.44,be,0.6019,-0.279
2026-09-02 02:53:16,SP500,SHORT,9.1,5,245.86,-0.1776,-43.67,8.75,be,0.0952,-0.5241
2026-09-02 12:21:34,XAUUSD,SHORT,9.7,5,242.91,-1.0000,-242.91,0.09,sl,0.5647,-0.9592
2026-09-02 21:12:31,AUDUSD,LONG,7.1,4,211.90,-0.9932,-210.46,1.30,sl,0.0675,-0.6074
2026-09-02 22:07:33,SP500,LONG,8.1,4,244.86,-0.4249,-104.05,11.08,be,0.4106,-0.5575
2026-09-03 12:30:12,XAUUSD,LONG,7.1,3,239.80,1.0092,242.00,0.11,tp,0.6151,-0.7807
2026-09-03 15:11:32,NAS100,LONG,9.1,4,107.52,3.4275,368.52,6.00,tp,3.2059,-0.2121
2026-09-03 15:31:02,SP500,LONG,9.7,4,244.84,1.5624,382.54,10.88,tp,1.5501,0.0172
2026-09-03 20:30:34,NAS100,LONG,9.7,4,237.38,-0.0825,-19.58,1.57,be,0.382,-0.2768
2026-09-03 22:31:38,SP500,LONG,9.7,4,246.19,-0.2966,-73.03,9.24,be,0.3135,-0.3778
2026-09-04 00:02:12,XAUUSD,LONG,8.1,4,225.82,-0.3545,-80.05,0.07,be,0.624,-0.6125
2026-09-04 20:30:12,AUDUSD,LONG,7.1,4,207.00,-0.4783,-99.00,1.50,be,0.0725,-0.7029
2026-09-04 20:30:12,XAUUSD,SHORT,9.7,5,238.68,0.1285,30.66,0.06,be,0.5588,-0.1458
2026-09-05 09:40:05,BTCUSD,LONG,6.93,5,80.47,-1.0001,-80.48,0.91,sl,-0.1875,-0.6498
2026-09-07 22:26:01,NAS100,LONG,7.1,3,186.84,-0.9644,-180.18,6.00,sl,0.4467,-0.9489
2026-09-07 23:01:32,SP500,SHORT,10.1,5,248.68,0.0412,10.24,17.54,be,0.2583,-0.2189
2026-09-08 02:26:11,AUDUSD,LONG,7.1,4,193.00,-0.9990,-192.81,1.93,sl,0.24,-0.99
2026-09-08 09:41:31,XAUUSD,SHORT,9.1,5,182.16,-1.0000,-182.16,0.22,sl,0.2114,-0.8321
2026-09-08 18:49:11,NAS100,LONG,8.1,4,256.85,-1.0000,-256.85,2.63,sl,0.1703,-0.7572
2026-09-09 00:04:08,SP500,SHORT,8.5,3,180.44,0.4618,83.32,26.00,trailing,2.0735,-0.7003
2026-09-09 06:24:55,BTCUSD,LONG,7.61,4,52.93,0.4000,21.17,0.91,be,1.5932,-0.5669
2026-09-09 09:46:09,BTCUSD,LONG,7.55,5,247.31,-1.0000,-247.31,0.56,sl,0.5196,-0.9487
2026-09-09 15:06:23,XAUUSD,LONG,8.1,5,231.21,-1.0000,-231.21,0.09,sl,0.8649,-0.9393
2026-09-09 15:40:24,SP500,SHORT,9.7,5,237.30,0.3997,94.86,15.34,trailing,1.2502,-0.0232
2026-09-09 20:30:17,NAS100,SHORT,9.1,5,225.48,-0.5185,-116.91,2.79,be,0.197,-0.8927
2026-09-10 02:47:59,SP500,SHORT,9.1,5,232.17,-0.6404,-148.69,21.84,be,0.4592,-0.8319
2026-09-10 10:41:21,USDJPY,LONG,7.5,4,238.36,1.7512,417.42,1.87,tp,1.5816,-0.5612
2026-09-10 10:56:52,XAUUSD,SHORT,9.1,5,235.26,0.6075,142.92,0.09,trailing,1.0578,0.0218
2026-09-10 13:32:27,XAUUSD,SHORT,9.1,3,230.72,-1.0000,-230.72,0.07,sl,0.0331,-0.9706
2026-09-10 22:15:32,SP500,SHORT,9.1,3,246.35,0.3207,79.00,11.41,be,0.7955,-0.4007
